DESIGNATION            ,M?,2MASS_NUMBER,RA_h,RA_m,RA_s,DEC_d, DEC_'," DEC_""",DIST,+/-0,SPEC,V,r,R, I,I,J,H,Ks,K,W1,W2,W3,Teff,RAD,MASS,a,PER,DISC,STAT ,PM?,x,y,z
DENIS-P J003006.2-373948   ,x,J00300625-3739483  ,0,30,6.3,-37,39,48,32,  ? ,L3,     ,     ,     ,     ,18.36,15.2,14.43,13.89,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,12.05564081,2.071537961,29.56975237
SDSS J050213.49+144236.6   ,,J05021345+1442367  ,5,2,13.5,14,42,37,32,2,L0  ,     ,     ,     ,     ,     ,14.27,13.39,12.96,      ,     ,     ,     ,    ,    ,    ,      ,          ,2004,      ,,15.46679959,2.866601865,27.86683879
UGPS J065227.71+032431.0   ,,                   ,6,52,27.7,3,24,31,32,4.5,T5.5,     ,     ,     ,     ,     ,17.24,17.5,17.52,      ,     ,     ,     ,    ,    ,    ,      ,          ,2011, UNCON,,9.243316643,0.971511727,30.62053661
G 196-3 B                  ,x,J10042066+5022596  ,10,4,20.7,50,22,60,32,2,L3  ,     ,     ,20.78,19.88,18.28,14.83,13.65,12.78,12.49,     ,     ,     ,1870,1.26,25,300,          ,1998,      ,,15.40052999,1.482902375,28.01115272
CFBDS J104209+580856       ,,                   ,10,42,10,58,8,57,32,8,T6.5,     ,     ,     ,26.33,     ,17.66,18.21,17.77,      ,17.25,15.3,     ,975,    ,    ,      ,          ,2010,      ,,10.6533867,0.372024461,30.17228778
2MASS J13015465-1510223    ,,J13015465-1510223  ,13,1,54.7,-15,10,22,32,2,L1  ,     ,     ,     ,     ,     ,14.54,13.67,13.1,      ,12.79,12.52,11.96,    ,    ,    ,      ,          ,2002,      ,,15.75327951,0.687803037,27.84530682
SDSS J135712.40+142839.8   ,,J13571237+1428398  ,13,57,12.4,14,28,40,32,1,L3  ,     ,     ,     ,20.12,     ,15.58,14.65,13.88,      ,     ,     ,     ,    ,    ,    ,      ,          ,2002,      ,,8.593780363,1.055183548,30.80638776
IRAC J142950.8+333011      ,,                   ,14,29,50.8,33,30,11,32,1,T4.5,     ,     ,     ,     ,22.21,16.88,     ,16.99,      ,16.54,14.98,12.04,    ,    ,    ,      ,          ,2004,      ,,12.16071247,1.600988169,29.55594541
2MASS J16184503-1321297    ,,J16184503-1321297  ,16,18,45,-13,21,30,32,4,L0  ,     ,     ,     ,     ,     ,14.25,13.4,12.92,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,13.624367,1.25190346,28.92765738
WISEP J162541.36+152811.1  ,,J16254152+1528140  ,16,25,41.5,15,28,14,32,  ? ,T5  ,     ,     ,     ,     ,     ,17.14,16.85,16.98,      ,16.9,14.72,12.5,    ,    ,    ,      ,          ,2013,      ,,12.70403434,1.559859278,29.3287291
SDSS J164522.06+300406.9   ,,J16452207+3004071  ,16,45,22.1,30,4,7,32,6,L3  ,     ,     ,     ,19.77,     ,15.19,14.21,13.59,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,10.23579073,0.178666392,30.31825632
DENIS-P J1909081-193748    ,,J19090821-1937479  ,19,9,8.2,-19,37,48,32,4,L1  ,     ,     ,     ,     ,17.77,14.52,13.54,12.92,      ,12.46,12.16,     ,    ,    ,    ,      ,          ,2000,      ,,14.68924429,2.392295346,28.32848434
2MASS J23211254-1326282    ,,J23211254-1326282  ,23,21,12.5,-13,26,28,32,2,L1  ,     ,     ,     ,     ,     ,14.5,13.58,13.14,      ,     ,     ,     ,    ,    ,    ,      ,          ,2007,      ,,13.28474054,1.513604994,29.07274787
