    DESIGNATION            |M?|   2MASS NUMBER    |    RA h | RA m | RA s    	|    DEC d | DEC ' | DEC "  |DIST |+/-0|SPEC|V    |  r  |R    |i    |I    |   J |H    |Ks   |K     |   W1|  W2 |W3   |Teff|RAD |MASS|  a   |   PER   | DISC|STAT |PM?
                           |  |                   |    	| DEC d  | DEC '| DEC "| pc  |pc  |    |     |     |     |     |     |     |     |     |      |     |     |     |  K |Rj  |Mj  |  AU  |    yr   | PUBL|     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

SDSS J000013.54+255418.6   |  |J00001354+2554180  | 0 | 0| 13.5 | +25|54|19|14.12|0.38|T4.5|     |     |     |     |     |15.06|14.73|14.84|      |     |     |     |    |    |    |      |          | 2004|		|
DENIS-P J0000286?124514    |  |J00002867-1245153  | 0 | 0| 28.7 | -12|45|15|19.20|3.60|M9.5|     |     |18.73|     |16.16|13.20|12.45|     |11.97 |     |     |     |    |    |    |      |          | 2010|		|
SDSS J000112.18+153535.5   |  |J00011217+1535355  | 0 | 1| 12.2 | +15|35|36|29.00|6.00|L4  |     |     |     |     |     |15.52|14.51|13.71|      |     |     |     |    |    |    |      |          | 2004|		|
GJ 1001 B                  | x|J00043484-4044058  | 0 | 4| 34.8 | -40|44| 6|13.01|0.67|L5  |     |     |     |     |16.68|13.11|12.06|11.40|11.40 |     |     |     |1600|0.58|36  |  174 |          | 1999|		|
GJ 1001 C                  | x|J00043484-4044058  | 0 | 4| 34.8 | -40|44| 6|13.01|0.67|L5  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |36  | 0.82 |        4 | 2004|		|
WISEP J000517.48+373720.5  |  |                   | 0 | 5| 17.5 | +37|37|21| 7.10|    |T9  |     |     |     |     |     |18.33|18.10|     |      |16.88|13.27|11.99| 525|    |    |      |          | 2013|		|
SDSS J000649.16-085246.3 B | x|J00064916-0852457  | 0 | 6| 49.2 | -08|52|46|30.00|3.00|T5  |     |20.98|     |18.19|     |14.14|13.55|     |13.13 |     |     |     |    |    |60  |0.286 |    0.404 | 2012|		|
DENIS-P J0006579?643654    |  |J00065794-6436542  | 0 | 6| 57.9 | -64|36|54|20.90|3.80|L0  |     |     |     |     |16.71|13.39|12.66|     |12.17 |     |     |     |    |    |    |      |          | 2010|		|
WISEPC J000849.76-173922.6 |  |                   | 0 | 8| 49.8 | -17|39|23|26.70|    |T6  |     |     |     |     |     |17.03|17.77|17.00|      |16.59|14.54|12.24| 975|    |    |      |          | 2011|		|
2MASS J00100009-2031122    |  |J00100009-2031122  | 0 |10|  0.1 | -20|31|12|30.00|2.00|L0  |     |     |     |     |     |14.13|13.37|12.88|      |     |     |     |    |    |    |      |          | 2007|		|
DENIS-P J0014554?484417    |  |J00145575-4844171  | 0 |14| 55.8 | -48|44|17|21.00|2.00|L2.5|     |     |     |     |17.54|14.05|13.11|12.72|12.58 |12.24|11.99|11.45|    |    |    |      |          | 2000|		|
WISE J001505.87-461517.6   |  |                   | 0 |15|  5.9 | -46|15|18|14.90|    |T8  |     |     |     |     |     |     |     |     |      |17.02|14.25|     | 675|    |    |      |          | 2012|		|
2MASSW J0015447+351603     |  |J00154476+3516026  | 0 |15| 44.8 | +35|16| 3|21.00|2.00|L2  |     |     |     |     |     |13.88|12.89|12.26|      |11.79|11.54|10.91|2200|    |    |      |          | 2000|		|
SDSS J001608.44-004302.3   |  |J00160844-0043021  | 0 |16|  8.4 | -00|43| 2|28.00|  ? |L5.5|     |     |     |     |     |16.33|15.23|14.54|      |     |     |     |    |    |    |      |          | 2004|		|
2MASS J00165953-4056541    |  |J00165953-4056541  | 0 |16| 59.5 | -40|56|54|31.00|3.00|L3.5|     |     |     |     |     |15.32|14.21|13.43|      |     |     |     |    |    |    |      |          | 2002|		|
2MASS J00192626+4614078    |  |J00192626+4614078  | 0 |19| 26.3 | +46|14| 8|19.50|1.60|M8  |20.00|     |     |     |     |12.60|11.94|11.50|11.50 |     |     |     |2600|    |65  |      |          | 2003|		|
2MASS J00194579+5213179    |  |J00194579+5213179  | 0 |19| 45.8 | +52|13|18|18.70|1.20|M9  |     |     |     |     |     |12.79|12.07|11.62|      |     |     |     |    |    |    |      |          | 2003| UNCON|
DENIS-P J002105.8-424442   | x|J00210589-4244433  | 0 |21|  5.9 | -42|44|43|23.00|2.00|M9.5|     |     |     |     |16.79|13.52|12.81|     |12.30 |     |     |     |    |    |84  | 1800 |   170000 |     | UNCON|
2MASS J00242463-0158201    |  |J00242463-0158201  | 0 |24| 24.6 | -01|58|20|11.50|0.50|M9.5|     |     |     |     |     |11.86|11.12|10.58|      |     |     |     |    |    |    |      |          | 2007|      |
