uniqueID,moonName,sizeClass,worldType,resourceValueModifier,habitabilityModifier,nativeEcosphere,climateType,breathable,worldDensity,worldDiameter,worldMass,surfaceGravity,volcanicActivityLevel,tectonicActivityLevel,hydrographicCoverage,surfaceTemperature,dayFaceAverageTemperature,nightFaceAverageTemperature,blackbodyCorrection,blackbodyTemperature,magneticFieldStrength,equatorialRotationVelocity,totalSurfaceArea,landSurfaceArea,liquidSurfaceArea,atmosphereMass,worldAtmosphereComposition.toxicity,worldAtmosphereComposition.chlorineOrFluorine,worldAtmosphereComposition.lowOxygen,worldAtmosphereComposition.highOxygen,worldAtmosphereComposition.organicToxins,worldAtmosphereComposition.sulfurCompounds,worldAtmosphereComposition.suffocating,worldAtmosphereComposition.highCarbonDioxide,worldAtmosphereComposition.inertGases,worldAtmosphereComposition.nitrogenCompounds,worldAtmosphereComposition.pollutants,worldAtmosphereComposition.corrosive,greenhouseFactor,absorptionFactor,atmosphericPressure,atmosphericPressureCategory,minimumMolecularWeightRetained,orbitalRadius,orbitalPeriod,orbitalEccentricity,minimumSeparation,maximumSeparation,rotationPeriod,retrogradeOrNot,apparentDayLength,axialTilt,resonantOrNot,tidalLockedOrNot,escapeVelocity,tidalForceOnSatelliteByPlanet,totalTidalEffect,hexesPerSide,totalHexes,waterHexCount,landHexCount,numberOfMajorOceans,numberOfMinorOceans,numberOfSmallSeas,numberOfScatteredLakes,numberOfMajorContinents,numberOfMinorContinents,numberOfMajorIslands,numberOfArchipelagoes,tectonicPlateCount
0001101100,HD 224789 k i,Terrestrial Planet (Tiny),Tiny (Sulfur),1,0,Frozen,No life,0,0.454746,0.0691743,0.000150523,0.0314568,Extreme,None,0,104.72,125.664,10.472,0.77,136,0,175.568,611543,611543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,None,1041.67,4.1784,2.19301,0.402564,2.49633,5.86048,2.19301,1,-2.193,14,0,1,737.544,4.36307,113045,1,20,0,20,0,0,0,1,12,0,0,11,2
0001102100,HD 224789 j i,Terrestrial Planet (Tiny),Tiny (Rock),-1,0,Frozen,No life,0,0.757269,0.35721,0.034516,0.270504,None,None,0,218.021,261.625,21.8021,0.97,224.764,0.018,3693.56,1.63074e+07,1.63074e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,None,38.7685,1.52981,0.538293,0.499364,0.765876,2.29374,0.538293,1,-0.538293,82,0,1,4914.81,268126,3.02959e+07,4,170,0,170,0,0,0,1,8,13,4,3,3
0001104100,HD 224789 h i,Terrestrial Planet (Tiny),Tiny (Sulfur),0,0,Frozen,No life,0,0.441382,0.214449,0.00435296,0.0946537,Heavy,None,0,62.2309,74.6771,6.22309,0.77,80.8194,0,145.738,5.87739e+06,5.87739e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,None,66.3595,11.832,8.19016,0.0477504,11.267,12.397,8.19016,0,8.19045,28,0,1,2252.63,4.06606,3642.96,3,100,0,100,0,0,0,1,4,0,6,3,10
0001109100,HD 224789 d ii,Terrestrial Planet (Small),Small (Ice),-1,2,Frozen,No life,0,0.345541,0.480757,0.0383952,0.166121,None,None,0,84.5485,101.458,8.45485,0.93,90.9123,0.014,426.643,2.95386e+07,7.84079e+06,2.16978e+07,0,1,0,0,0,0,0,1,0,0,0,0,0,0.1,0.93,0,None,18.9723,9.3507,6.27195,0.0995438,8.41989,10.2815,6.27195,0,6.2749,2,0,1,4468.22,330.033,33523.2,4,170,125,45,0,0,0,0,9,1,5,9,14
0001109200,HD 224789 d i,Terrestrial Planet (Small),Small (Hadean),-1,0,Frozen,No life,0,0.40649,0.375219,0.0214735,0.152523,Light,None,0,48.5904,58.3085,4.85904,0.67,72.5229,0,166.521,1.79931e+07,1.79931e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,None,21.1206,14.694,12.5417,0.0523055,13.9254,15.4625,12.5417,0,12.5535,29,0,1,3782.4,37.1243,6742.48,4,170,0,170,0,0,0,0,9,5,6,4,6
0001111100,HD 224789 b ii,Terrestrial Planet (Tiny),Tiny (Ice),-4,0,Frozen,No life,0,0.263511,0.0861643,0.00016857,0.0227052,None,None,0,48.7855,58.5427,4.87855,0.86,56.7274,0,24.0616,948838,948838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,None,483.268,24.0162,19.9317,0.799523,4.81469,43.2177,19.9317,0,20.0143,34,0,1,699.335,0.00263759,61.0227,1,20,0,20,0,0,0,0,7,6,10,9,5
0001111200,HD 224789 b i,Terrestrial Planet (Tiny),Tiny (Ice),-4,0,Frozen,No life,0,0.300596,0.337932,0.0116003,0.101581,None,None,0,58.3099,69.9719,5.83099,0.86,67.8022,0,162.087,1.45947e+07,1.45947e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,None,32.9194,16.8113,11.6044,0,16.8113,16.8113,11.6044,0,11.6324,26,0,1,2929.4,2.07541,697.749,3,100,0,100,0,0,0,0,6,6,9,3,11
0003103100,GJ 1294A h iii,Terrestrial Planet (Small),Small (Hadean),-3,0,Frozen,No life,0,0.312324,0.345031,0.0128286,0.107762,None,None,0,42.9583,51.5499,4.29583,0.67,64.1168,0,105.254,1.52144e+07,1.52144e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,None,28.7408,18.7995,18.2458,0.303713,13.0898,24.5091,18.2458,0,18.2463,0,0,1,3048.73,9.58682,5828.94,3,100,0,100,0,0,0,0,6,4,5,5,9
0003103200,GJ 1294A h ii,Terrestrial Planet (Tiny),Tiny (Sulfur),2,0,Frozen,No life,0,0.453227,0.207291,0.004037,0.09395,Extreme,None,0,69.8197,83.7836,6.98197,0.77,90.6749,0,177.421,5.49161e+06,5.49161e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,None,77.5994,9.39973,6.50304,0.101614,8.44458,10.3549,6.50304,0,6.50311,9,0,1,2206.47,14.5,28015.8,3,100,0,100,0,0,0,0,10,1,4,12,8
0003103300,GJ 1294A h i,Terrestrial Planet (Standard),Standard (Hadean),-1,0,Frozen,No life,0,0.555996,0.515282,0.0760689,0.286495,None,None,0,53.5784,64.2941,5.35784,0.67,79.9678,0.004,322.024,3.39334e+07,3.39334e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,None,9.02821,12.0854,8.90631,0.196764,9.7074,14.4633,8.90631,0,8.90644,4,0,1,6074.91,319.555,32766.7,5,260,0,260,0,0,0,0,7,4,0,7,6
