0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
3584.0,832.0,4260.0,2310.0,1769.0,2602.0,1328.0,474.0,3088.0,2321.0,4212.0,50.0,2871.0,1785.0,3450.0,2235.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2977.0,3171.0,263.0,2842.0,75.0,2767.0,335.0,81.0,2930.0,434.0,2768.0,2709.0,2936.0,2905.0,2906.0,251.0,222.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96.0,5.0,2952.0,2828.0,2990.0,2962.0,2900.0,21.0,126.0,31.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2880.0,2691.0,2948.0,39.0,10.0,170.0,2800.0,18.0,3123.0,3220.0,3317.0,4086.0,2999.0,3096.0,345.0,4094.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2917.0,4261.0,4262.0,3014.0,3049.0,4239.0,19.0,3032.0,3000.0,4281.0,88.0,120.0,3005.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96.0,2.0,6.0,2982.0,2952.0,4268.0,2990.0,2993.0,2900.0,2836.0,2902.0,126.0,31.0,2942.0,127.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5.0,2982.0,107.0,4268.0,2990.0,2993.0,53.0,4278.0,2967.0,26.0,127.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2920.0,2992.0,80.0,148.0,21.0,55.0,30.0,150.0,2969.0,188.0,158.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3008.0,96.0,3009.0,2981.0,3046.0,2952.0,45.0,111.0,2962.0,21.0,30.0,31.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2722.0,228.0,4261.0,4262.0,3014.0,4201.0,2922.0,4076.0,12.0,13.0,3032.0,3001.0,3131.0,120.0,159.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
