,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,uniqueID,numberOfStars,systemAge,gardenWorldPresent,cartesianX,cartesianY,cartesianZ,cartesianVelocityX,cartesianVelocityY,cartesianVelocityZ
0,0,0,0,0000000000,1,4.6,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,0001000000,1,3.9,0,10.3742,0.030419,-28.0091,-9.16e-06,-5.96e-06,-3.4e-06
2,2,2,2,0002000000,1,3.6,0,30.207,0.105644,9.22846,-7.23e-06,-1.53e-05,-5.28e-05
3,3,3,3,0003000000,1,7.8,0,5.67201,0.053101,-14.2398,-1.6100000000000002e-05,1.53e-05,-6.37e-06
4,4,4,4,0004000000,1,10.0,0,10.8347,0.102555,5.5404300000000015,-9.99e-06,4.58e-05,-6.579999999999999e-05
5,5,5,5,0005000000,1,10.8,0,30.6162,0.315156,5.95495,1.25e-06,-3.9e-07,-6.41e-06
6,6,6,6,0006000000,1,8.7,0,29.1049,0.421232,2.38642,1.04e-06,-3.45e-06,-1.21e-05
7,7,7,7,0007000000,1,1.25,0,23.9342,0.487833,16.3127,4.38e-06,1.74e-05,-6.95e-06
8,8,8,8,0008000000,1,5.0,0,24.2397,0.522425,10.4265,-6.8e-07,4.89e-05,-8.8e-07
9,9,9,9,0009000000,1,5.0,0,7.84376,0.17736500000000002,8.06419,4.91e-06,4.760000000000001e-05,-5.67e-06
10,10,10,10,0010000000,1,1.0,0,5.99334,0.138488,-14.7141,-2.4e-05,-9.58e-06,-5.51e-05
11,11,11,11,0011000000,1,12.0,0,3.44884,0.081384,-2.63351,-1.4e-05,0.00011824,-5.33e-05
12,12,12,12,0012000000,2,7.2,0,16.0669,0.39835,16.5338,9.04e-06,9.8e-05,-1.07e-05
13,13,13,13,0013000000,2,4.4,0,21.8509,0.596677,35.5829,-2.279e-05,5e-05,-2.004e-05
14,14,14,14,0014000000,2,8.9,0,33.6279,0.927751,-38.8021,-9.76e-06,0.0001446,-8.54e-06
15,15,15,15,0015000000,1,4.5,0,6.83577,0.188543,-15.2449,-4.13e-05,1.47e-05,-1.83e-05
16,16,16,16,0016000000,1,0.7,0,11.949000000000002,0.344882,6.63205,9e-08,2.52e-05,-1.31e-05
17,17,17,17,0017000000,1,2.6,0,26.5117,0.957394,-7.0213899999999985,-3e-07,-1.67e-06,-1.38e-06
18,18,18,18,0018000000,1,0.15,0,25.9746,0.951042,14.4613,-2e-08,1.96e-05,-2.65e-05
