uniqueID,hygIndex,hipIndex,hdIndex,glieseIndex,properName,bayerDesignation,flamsteedDesignation,starConstellation,cartesianX,cartesianY,cartesianZ,cartesianVelocityX,cartesianVelocityY,cartesianVelocityZ,distanceFromSol,starColor_r,starColor_g,starColor_b,harvardLetter,yerkesClassification,numericValue,starClassification,stellarOrbitalPeriod,escapeVelocity,numberOfCSVPlanets,numberOfPlanets,starNumber,stellarMass,stellarAge,stellarLuminosity,stellarTemperature,stellarRadius,equatorialRotationVelocity,energyRadiated,innerLimitRadius,outerLimitRadius,snowLineRadius,averageOrbitalRadius,orbitalEccentricity,minSeparationToCompanion,maxSeparationToCompanion,innerForbiddenZone,outerForbiddenZone,gasGiantArrangement,numberOfJumpPoints,starSystemID
0000100000,,,,,Sol,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,255,234,235,G,V,2.0,G2V,0.0,6177000.0,11,11,0,1.0,4.6,1.0,5772.0,1.0,0,62900000.0,0.1,40.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,0000000000
0001100000,57.0,57.0,224789.0,,,,,Tuc,10.3742,0.030419,-28.0091,-9.16e-06,-5.96e-06,-3.4e-06,29.8686,255,209,174,K,V,1.0,K1.000000V,0.0,19285100.0,0,11,0,0.838836,3.9,0.382296,5169.35,0.860173,0,40490700.0,0.0838836,33.5534,2.99876,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,3.0,0001000000
0002100000,68.0,68.0,224808.0,,,,,Peg,30.207,0.105644,9.22846,-7.23e-06,-1.53e-05,-5.28e-05,31.5856,255,202,157,K,V,0.0,K0.000000V,0.0,14018300.0,0,9,0,1.03247,8.1,0.264728,7610.81,2.00371,0,190255000.0,0.103247,41.2988,2.49541,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,0.0,0002000000
0003100000,169.0,169.0,224953.0,GJ 1294A,,,,Tuc,5.67201,0.053101,-14.2398,-1.6100000000000002e-05,1.53e-05,-6.37e-06,15.328,255,216,181,K,V,5.0,K5.000000V,0.0,16340500.0,0,12,0,1.43345,3.9,0.0411908,8352.34,2.0474,0,275958000.0,0.143345,57.3382,0.984332,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,3.0,0003000000
0004100000,171.0,171.0,224930.0,Gl 914A,,,85 Pegasi,Peg,10.8347,0.102555,5.5404300000000015,-9.99e-06,4.58e-05,-6.579999999999999e-05,12.1699,255,241,229,G,V,5.0,G5.000000V,0.0,18391800.0,0,11,0,0.767624,2.7,0.617163,5365.25,0.8654700000000001,0,46986300.0,0.0767624,30.705,3.81015,0.0,0.0,0.0,0.0,0.0,0.0,Conventional Gas Giant,8.0,0004000000
0005100000,184.0,184.0,224983.0,,,,,Peg,30.6162,0.315156,5.95495,1.25e-06,-3.9e-07,-6.41e-06,31.1915,255,202,157,K,V,0.0,K0.000000V,0.0,13929600.0,0,10,0,0.962592,2.2,0.343558,7007.75,1.89198,0,136750000.0,0.0962592,38.5037,2.84277,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,1.0,0005000000
0006100000,263.0,263.0,0.0,,,,,,29.1049,0.421232,2.38642,1.04e-06,-3.45e-06,-1.21e-05,29.2056,255,197,111,M,V,1.5,M1.500000V,0.0,9859690.0,0,7,0,0.147379,2.0,0.0113449,3510.65,0.578176,0,8613140.0,0.014737899999999996,5.89516,0.5165850000000001,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,1.0,0006000000
0007100000,375.0,375.0,0.0,,,,,And,23.9342,0.487833,16.3127,4.38e-06,1.74e-05,-6.95e-06,28.9687,255,202,157,K,V,0.0,K0.000000V,0.0,14104200.0,0,0,0,0.999112,12.2,0.17060799999999998,7395.47,1.91543,0,169619000.0,0.0999112,39.9645,2.00328,0.0,0.0,0.0,0.0,0.0,0.0,Eccentric Gas Giant,3.0,0007000000
0008100000,400.0,400.0,225261.0,GJ 3003,,,,Peg,24.2397,0.522425,10.4265,-6.8e-07,4.89e-05,-8.8e-07,26.3922,255,248,252,G,V,9.0,G9.000000V,0.0,19750500.0,0,11,0,0.980253,10.6,0.451648,5303.36,0.958372,0,44855500.0,0.0980253,39.2101,3.25943,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,4.0,0008000000
0009100000,428.0,428.0,0.0,Gl 2,,,,And,7.84376,0.17736500000000002,8.06419,4.91e-06,4.760000000000001e-05,-5.67e-06,11.2511,255,197,111,M,V,2.0,M2.000000V,0.0,20595300.0,0,8,0,0.565,7.4,0.011545200000000002,3642.0,0.508,0,9976350.0,0.0565,22.6,0.521125,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,4.0,0009000000
