id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
57,57,224789,,,,,0.011212,-69.675965,29.8686,-40.97,-67.59,0,8.27,5.894,K2V,0.863,10.374188,0.030419,-28.00908,-0.00000916,-0.00000596,-0.0000034,0.002935397,-1.216074996,-1.99E-07,-3.28E-07,,,Tuc,1,57,,0.382296217,,,
68,68,224808,,,,,0.01336,16.988197,31.5856,-99.69,-315.9,-21.9,8.79,6.293,K0,0.94,30.206989,0.105644,9.228456,-0.00000723,-0.00001529,-0.0000528,0.003497534,0.296499974,-4.83E-07,-1.53E-06,,,Peg,1,68,,0.264728074,,,
169,169,224953,,GJ 1294A,,,0.035702,-68.280769,15.328,207.45,-231.8,0,9.24,8.313,M0V,1.39,5.67201,0.053101,-14.239841,-0.00001614,0.00001526,-0.00000637,0.009346676,-1.191724239,1.01E-06,-1.12E-06,,,Tuc,1,169,GJ 1294,0.041190778,,,
171,171,224930,9088,Gl 914A,85    Peg,,0.036139,27.082256,12.1699,778.59,-918.72,-37.6,5.8,5.374,G3V,0.69,10.834733,0.102555,5.540428,-0.00000999,0.00004584,-0.00006577,0.009461082,0.472674536,3.77E-06,-4.45E-06,,85,Peg,1,171,Gl 914,0.617163168,,,
184,184,224983,,,,,0.039318,11.006236,31.1915,-2.65,-43.21,0,8.48,6.01,K0,0.888,30.616154,0.315156,5.954951,0.00000125,-0.00000039,-0.00000641,0.010293413,0.192095054,-1.28E-08,-2.09E-07,,,Peg,1,184,,0.343557948,,,
263,263,,,,,,0.055279,4.686928,29.2056,-24.45,-85.41,0,12.04,9.713,M1,1.473,29.10489,0.421232,2.386423,0.00000104,-0.00000345,-0.00001205,0.014471892,0.081802328,-1.19E-07,-4.14E-07,,,,1,263,,0.011344882,,12.154,11.854
375,375,,,,,,0.07784,34.27136,28.9687,123.4,-59.91,0,9.08,6.77,,,23.934179,0.487833,16.312653,0.00000438,0.00001742,-0.00000695,0.020378353,0.598148071,5.98E-07,-2.90E-07,,,And,1,375,,0.170608239,,9.523,7.603
400,400,225261,,NN 3003,,,0.082306,23.269629,26.3922,382.15,-7.45,0,7.82,5.713,G9V,0.755,24.239722,0.522425,10.426465,-0.00000068,0.00004889,-0.00000088,0.021547639,0.406131646,1.85E-06,-3.61E-08,,,Peg,1,400,,0.451647905,,,
428,428,,,Gl 2,,,0.086297,45.786567,11.2511,869.68,-151.13,0.1,9.95,9.694,M2,1.472,7.843761,0.177365,8.064194,0.00000491,0.00004756,-0.00000567,0.022592418,0.799126347,4.22E-06,-7.33E-07,,,And,1,428,,0.011545161,,10.005,9.895
435,436,55,,Gl 3,,,0.088278,-67.83259,15.8881,-117.19,-560.77,41,8.49,7.485,K5V,1.076,5.993342,0.138488,-14.714076,-0.00002396,-0.00000958,-0.00005513,0.0231111,-1.183902029,-5.68E-07,-2.72E-06,,,Tuc,1,435,,0.08830799,,,
442,439,225213,,Gl 1,,,0.089883,-37.357364,4.3399,5634.07,-2337.94,22.9,8.56,10.373,M2V,1.462,3.448844,0.081384,-2.633508,-0.00001398,0.00011824,-0.00005331,0.023531392,-0.652008993,2.73E-05,-1.13E-05,,,Scl,1,442,,0.006177319,,,
472,473,38,,Gl 4A,,,0.094664,45.812081,11.3071,878.73,-153.87,0.2,8.2,7.933,K2,1.41,7.878784,0.195428,8.107843,0.000005,0.0000483,-0.00000573,0.02478295,0.799571649,4.26E-06,-7.46E-07,,,And,1,472,Gl   4,0.058452084,,8.311,8.171
517,518,123,5,Gl 4.1A,,,0.104356,58.436733,21.4777,247.36,17.77,-11.6,5.98,4.32,G5V,0.687,11.23803,0.307211,18.300258,-0.00000849,0.00002553,-0.00000914,0.027320425,1.019913391,1.20E-06,8.62E-08,,,Cas,1,517,Gl   4.1,1.629296033,V640,5.994,5.964
521,522,142,6,Gl 4.2A,,,0.105277,-49.075191,25.7136,575.21,-39.94,2.6,5.7,3.649,G1IV...,0.519,16.837769,0.46441,-19.42844,-0.00000399,0.00007162,-0.00000527,0.027561565,-0.856523664,2.79E-06,-1.94E-07,,,Phe,1,521,Gl   4.2,3.02273448,,,
522,523,,,NN 3006,,,0.105282,-65.840538,16.7084,195.8,-552.5,0,12.17,11.055,M4,1.55,6.835774,0.188543,-15.24491,-0.00004125,0.00001473,-0.00001832,0.027562869,-1.149134174,9.49E-07,-2.68E-06,,,Tuc,1,522,,0.003296097,CQ,12.294,11.974
543,544,166,8,Gl 5,,,0.110209,29.021502,13.6705,379.94,-178.34,-5.5,6.07,5.391,K0V,0.752,11.948982,0.344882,6.632053,0.00000009,0.00002519,-0.00001306,0.028852629,0.506520758,1.84E-06,-8.65E-07,,,And,1,543,,0.607575146,V439,6.091,6.051
668,669,361,,,,,0.137879,-14.824492,27.4424,-12.43,-10.72,0,7.04,4.848,G2/G3V,0.624,26.511674,0.957394,-7.021385,-0.0000003,-0.00000167,-0.00000138,0.036096529,-0.258736192,-6.03E-08,-5.20E-08,,,Cet,1,668,,1.001843766,,,
676,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.0000265,0.036597163,0.507723818,6.58E-07,-7.90E-07,Alp,21,And,1,676,,114.4985535,Alp,2.083,2.063
685,687,,,NN 3008,,,0.140912,17.4243,21.7486,-92.54,-63.62,0,10.73,9.043,M0,1.46,20.736513,0.765325,6.51252,0.00000237,-0.00000968,-0.0000064,0.036890605,0.304111401,-4.49E-07,-3.08E-07,,,Peg,1,685,,0.021028098,,10.802,10.682
721,723,404,,,,,0.149189,66.456662,30.2847,174.82,5.96,-59.7,8.57,6.164,G5,0.885,12.087555,0.472486,27.763257,-0.00002617,0.00002466,-0.00005562,0.039057554,1.159887564,8.48E-07,2.89E-08,,,Cas,1,721,,0.298126101,V740,8.631,8.521
736,738,,,Gl 7,,,0.151197,-27.122139,23.4467,696.09,87.88,0,11.73,9.88,,1.493,20.852074,0.825903,-10.689089,0.00000142,0.00007924,0.00000889,0.039583382,-0.47337062,3.37E-06,4.26E-07,,,Scl,1,736,,0.009727472,,11.807,11.657
744,746,432,21,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,0.00001681,0.00004329,0.00000239,0.040025853,1.032358404,2.54E-06,-8.75E-07,Bet,11,Cas,1,744,,30.06076303,Bet,2.303,2.263
895,897,,,NN 3011,,,0.184614,-5.78397,25.5428,255.86,10.17,-5.2,10.86,8.824,M2,1.418,25.383037,1.227767,-2.574146,-0.00000669,0.0000314,0.00000179,0.048331837,-0.100949315,1.24E-06,4.93E-08,,,Psc,1,895,,0.025727643,,10.926,10.796
908,910,693,33,Gl 10,6    Cet,,0.187739,-15.467977,18.7477,-84.2,-269.31,14.6,4.89,3.525,F5V,0.487,18.046958,0.887717,-5.000042,0.00000823,-0.00000726,-0.00002757,0.049149857,-0.269967134,-4.08E-07,-1.31E-06,,6,Cet,1,908,,3.388441561,,,
