,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pra,pdec,rv,ag,absag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,prarad,pdecrad,bayer,fla,con,comp,comp_primary,base,lu,var,var_in,var_ax,mass,mass_t,temperature,radius,radius_t,period,period_t,semiMajorAxis,semiMajorAxis_t,eccentricity,eccentricity_t
2700,0,,,,,,Sol,0,0,0,0,0,0,-26.7,4.85,G2V,0.656,5.00E-06,0,0,0,0,0,0,0,0,0,,,,1,0,,1,,,,1,0,5772,1,0,,,,,,
1583,70666,70890,,,Gl 551,,Proxima Centauri,14.495985,-62.679485,1.2959,-3775.64,768.16,-16,11.01,15.447,M5.5V,1.807,-0.472264,-0.361451,-1.151219,-1.19E-05,2.08E-05,1.68E-05,3.795039917,-1.093963385,-1.83E-05,3.72E-06,,,Cen,1,70666,,5.77E-05,V645,11.079,10.939,0.1221,0.0022,3042,0.1542,0.0045,,,,,,
32,1240,1242,,,GJ 1005A,,,0.257803,-16.133807,4.9868,728.18,-617.48,-29,11.49,13.001,M4V,1.75,4.779241,0.32306,-1.385667,-3.38E-05,1.54E-05,-6.10E-06,0.067492759,-0.281588059,3.53E-06,-2.99E-06,,,Cet,1,1240,GJ 1005,0.000549035,,11.558,11.378,0.184,0.01,3213,0.219,0.011,,,,,,
3173,117973,,,,GJ 1006B,,,0.27094,19.864002,15.2672,695.86,-759.39,0,13.22,12.301,M4.0V,1.6,14.322712,1.017798,5.187622,1.54E-05,5.27E-05,-5.29E-05,0.070931897,0.346692238,3.37E-06,-3.68E-06,GJ 1006B,,,2,1294,GJ 1006,0.001046165,,,,,,,,,,,,,,
2007,87665,87937,,,Gl 699,,Barnard's Star,17.963472,4.693388,1.8238,-797.84,9999.99,-111,9.54,13.235,M4V,1.57,-0.017373,-1.816613,0.149123,-5.91E-06,0.0001204,7.89E-05,4.702826032,0.081915079,-3.87E-06,5.01E-05,,,Oph,1,87665,,0.000442588,V2500,9.59,9.49,0.144,0,3134,0.196,0.008,,,,,,
2701,118720,,,,Gl 406,,Wolf 359,10.941484,7.01532,2.3906,-3822.95,-2716.83,13,13.45,16.557,dM6,2,-2.282811,0.649334,0.292057,-4.33E-06,4.73E-05,-2.96E-05,2.864473687,0.122440437,-1.85E-05,-1.32E-05,Gl 406,,,1,118720,,2.08E-05,,,,0.09,0,2800,0.16,0,,,,,,
1185,53879,54035,95735,,Gl 411,,Lalande 21185,11.055632,35.969877,2.5469,-580.2,-4767.09,-84.3,7.49,10.46,M2V,1.502,-1.998,0.504305,1.495504,3.59E-05,-1.66E-06,-9.83E-05,2.894357577,0.627792793,-2.81E-06,-2.31E-05,,,UMa,1,53879,,0.005701643,,,,0.405,0.067,3671,0.377,0.049,,,,,,
35,1294,1295,,,GJ 1006A,,,0.270724,19.860459,16.3079,721.27,-753.06,0,11.79,10.728,M4.0V,1.485,15.299442,1.086202,5.540292,1.61E-05,5.83E-05,-5.60E-05,0.070875367,0.346630404,3.50E-06,-3.65E-06,,,Psc,1,1294,GJ 1006,0.004454511,EZ,11.919,11.639,,,,,,,,,,,
3212,117984,,,,GJ 1010B,,,0.394425,77.191153,15.6986,-798.9,41.87,0,14,13.021,M4.5,,3.462071,0.356392,15.307942,3.19E-06,-6.08E-05,7.10E-07,0.103260286,1.347239776,-3.87E-06,2.03E-07,GJ 1010B,,,2,1856,GJ 1010,0.000539014,,,,,,,,,,,,,,
59,1856,1860,,,GJ 1010A,,,0.391817,77.189292,19.2271,-840.75,45.38,0,11.31,9.89,M2.5V,1.462,4.240884,0.436015,18.748497,3.92E-06,-7.84E-05,9.40E-07,0.10257742,1.347207284,-4.08E-06,2.20E-07,,,Cep,1,1856,GJ 1010,0.00963829,,11.376,11.256,0.533,0.004,3717,0.477,0.014,,,,,,
3972,118007,,,,GJ 1015A,,,0.688591,55.833421,23.0947,300.79,-75,0,14.02,12.202,M4.17,1.55,12.759689,2.326221,19.108746,8.00E-07,3.44E-05,-4.72E-06,0.180272763,0.974477037,1.46E-06,-3.64E-07,GJ 1015A,,,1,118007,GJ 1015,0.001146041,,,,,,,,,,,,,,
2089,92115,92403,,,Gl 729,,,18.830369,-23.836232,2.9698,637.55,-192.47,-12.1,10.37,13.006,M3.5V,1.51,0.585883,-2.652454,-1.200123,6.28E-06,1.41E-05,2.47E-06,4.92977903,-0.416020736,3.09E-06,-9.33E-07,,,Sgr,1,92115,,0.000546512,V1216,10.408,10.338,0.173,0.001,3260,0.21,0.006,,,,,,
