uniqueID,numberOfStars,systemAge,gardenWorldPresent,cartesianX,cartesianY,cartesianZ,cartesianVelocityX,cartesianVelocityY,cartesianVelocityZ
0001000000,1,3.9,0,10.3742,0.030419,-28.0091,-9.16e-06,-5.96e-06,-3.4e-06
0002000000,1,3.6,0,30.207,0.105644,9.22846,-7.23e-06,-1.53e-05,-5.28e-05
0003000000,1,7.8,0,5.67201,0.053101,-14.2398,-1.61e-05,1.53e-05,-6.37e-06
0004000000,1,10,0,10.8347,0.102555,5.54043,-9.99e-06,4.58e-05,-6.58e-05
0005000000,1,10.8,0,30.6162,0.315156,5.95495,1.25e-06,-3.9e-07,-6.41e-06
0006000000,1,8.7,0,29.1049,0.421232,2.38642,1.04e-06,-3.45e-06,-1.21e-05
0007000000,1,1.25,0,23.9342,0.487833,16.3127,4.38e-06,1.74e-05,-6.95e-06
0008000000,1,5,0,24.2397,0.522425,10.4265,-6.8e-07,4.89e-05,-8.8e-07
0009000000,1,5,0,7.84376,0.177365,8.06419,4.91e-06,4.76e-05,-5.67e-06
0010000000,1,1,0,5.99334,0.138488,-14.7141,-2.4e-05,-9.58e-06,-5.51e-05
0011000000,1,12,0,3.44884,0.081384,-2.63351,-1.4e-05,0.00011824,-5.33e-05
0012000000,2,7.2,0,16.0669,0.39835,16.5338,9.04e-06,9.8e-05,-1.07e-05
0013000000,2,4.4,0,21.8509,0.596677,35.5829,-2.279e-05,5e-05,-2.004e-05
0014000000,2,8.9,0,33.6279,0.927751,-38.8021,-9.76e-06,0.0001446,-8.54e-06
0015000000,1,4.5,0,6.83577,0.188543,-15.2449,-4.13e-05,1.47e-05,-1.83e-05
0016000000,1,0.7,0,11.949,0.344882,6.63205,9e-08,2.52e-05,-1.31e-05
0017000000,1,2.6,0,26.5117,0.957394,-7.02139,-3e-07,-1.67e-06,-1.38e-06
0018000000,1,0.15,0,25.9746,0.951042,14.4613,-2e-08,1.96e-05,-2.65e-05
0019000000,1,10.1,0,20.7365,0.765325,6.51252,2.37e-06,-9.68e-06,-6.4e-06
0020000000,1,2.6,0,12.0876,0.472486,27.7633,-2.62e-05,2.47e-05,-5.56e-05
0021000000,1,0.95,0,20.8521,0.825903,-10.6891,1.42e-06,7.92e-05,8.89e-06
0022000000,1,9.2,0,8.60001,0.344589,14.4095,1.68e-05,4.33e-05,2.39e-06
0023000000,1,0.3,0,25.383,1.22777,-2.57415,-6.69e-06,3.14e-05,1.79e-06
0024000000,1,8.8,0,18.047,0.887717,-5.00004,8.23e-06,-7.26e-06,-2.76e-05
0025000000,1,2.2,0,14.7174,0.729614,23.9053,-4.11e-06,3.16e-05,1.57e-06
0026000000,1,6.5,0,17.3775,0.890451,-12.2441,-5.43e-06,1.72e-05,1.75e-05
0027000000,1,5.7,0,23.4376,1.23519,12.0097,2.89e-06,3.64e-05,-9.38e-06
0028000000,1,10.7,0,25.9193,1.42172,10.3371,1.31e-05,2.64e-05,-3.65e-05
0029000000,1,7.1,0,10.7082,0.600442,-17.1056,3.55e-06,-1.13e-05,1.82e-06
0030000000,2,6.3,0,16.5105,0.955504,43.8294,5.51e-05,0.0001646,-2.43e-05
0031000000,1,0,0,22.521,1.32662,-16.8947,-2.44e-05,-3.01e-05,-3.49e-05
0032000000,1,8.4,0,3.17151,0.18905,19.3292,-1.85e-05,2.28e-05,2.8e-06
0033000000,1,8.8,0,4.77924,0.32306,-1.38567,-3.38e-05,1.54e-05,-6.1e-06
0034000000,1,2.4,0,15.1313,1.06028,-17.0012,-1.93e-05,-6.47e-06,-1.75e-05
0035000000,1,7.5,0,3.0755,0.217909,-17.224,-7.42e-06,3.64e-05,-8.7e-07
0036000000,2,6.6,0,29.6222,2.104,10.7279,3.15e-05,0.000111,-0.0001089
0037000000,1,3.7,0,14.1542,1.0276,-17.0749,2e-05,3.72e-05,1.88e-05
0038000000,1,11,0,13.6727,1.00995,-17.965,4.46e-06,3.49e-05,2.38e-05
0039000000,1,3.4,0,11.3009,0.845066,9.83317,-4.7e-06,4.11e-05,6.56e-06
0040000000,1,8.1,0,20.1989,1.53106,11.3133,-2.93e-05,7.57e-05,4.21e-05
0041000000,1,1.35,0,14.9612,1.13867,2.34333,3.49e-05,8.22e-06,1.12e-05
0042000000,1,9.1,0,26.39,2.07476,-6.33355,2.38e-05,5.44e-05,-6.79e-06
0043000000,1,4.2,0,16.0278,1.28087,2.89385,4.6e-07,-2e-08,-2.52e-06
0044000000,2,6.6,0,5.12904,0.41215,4.97305,-8e-07,0.0001003,2.69e-05
0045000000,1,9.8,0,22.9391,1.87564,-3.25636,-1.66e-05,4.59e-05,-1.46e-05
0046000000,1,10.6,0,20.6936,1.72793,-3.64841,-5.01e-06,-4.22e-06,-3.04e-05
0047000000,1,0,0,30.7978,2.58706,-1.64873,-1.41e-06,-3.98e-06,-3.26e-05
0048000000,1,12.7,0,27.1804,2.29295,-9.87872,-1.13e-05,7.32e-05,-1.41e-05
0049000000,1,8.1,0,19.4042,1.69823,15.343,2.92e-05,-1.45e-05,-2.04e-05
0050000000,1,8.7,0,3.63191,0.318885,-7.77423,4.14e-05,7.5e-05,1.23e-05
0051000000,1,5.3,0,22.0901,1.94619,-6.80576,-1.65e-06,1.52e-05,-1.02e-06
0052000000,1,9.2,0,12.0087,1.10091,29.3556,-1.08e-05,2.17e-06,4.32e-06
0053000000,1,7.4,0,11.9037,1.11092,-12.271,-4.71e-05,1.47e-06,-4.91e-05
0054000000,1,0,0,13.3284,1.26114,-13.9085,-2.15e-05,-3.03e-05,-2.33e-05
0055000000,1,4.3,0,15.2749,1.46637,-9.36891,-9.56e-06,4.5e-06,-1.49e-05
0056000000,1,12.4,0,25.5992,2.50929,-13.1244,-2.79e-05,2.72e-05,-5e-05
0057000000,1,5.3,0,20.2905,2.0309,-4.41239,-5.27e-06,3.96e-05,6.54e-06
0058000000,1,5.8,0,18.4607,1.88054,-12.1279,7.76e-06,-2.95e-06,1.14e-05
0059000000,1,10.2,0,12.3475,1.26013,-15.2692,-5.37e-06,5.2e-05,-5e-08
0060000000,2,0.45,0,7.70295,0.792407,34.0564,7.11e-06,-0.0001392,1.65e-06
0061000000,1,6.6,0,16.1425,1.72743,-8.28153,4.3e-07,5.94e-05,4.89e-06
0062000000,1,8.7,0,15.9204,1.72312,-22.0276,-5.94e-06,2.72e-05,-2.17e-06
0063000000,1,8,0,1.63527,0.184517,-7.27521,7.54e-06,8.16e-05,-2.03e-05
0064000000,1,9.2,0,17.1069,1.96447,-16.4436,9.51e-06,1.34e-05,-5.24e-06
0065000000,1,9.5,0,19.0837,2.19828,-17.4833,2.32e-05,3.22e-05,-8.46e-05
0066000000,1,0,0,5.55858,0.654911,15.4975,1.23e-05,-9.45e-06,-4.02e-06
0067000000,1,0,0,7.6808,1.0428,25.9528,-2.13e-05,2.91e-05,5.13e-06
0068000000,1,2.9,0,11.1884,1.58522,-22.2654,-1.98e-05,6.2e-05,-5.53e-06
0069000000,2,8.3,0,7.73507,1.10373,18.62,-4.81e-06,0.0001705,-1.25e-05
0070000000,1,9,0,15.3831,2.33087,-20.1838,2.1e-05,3.16e-05,-2.53e-05
0071000000,1,0.8,0,22.605,3.43,-1.81654,-1.74e-06,1.19e-05,8.7e-07
0072000000,1,2,0,20.9946,3.23274,19.598,1.11e-05,-2.21e-05,-6.74e-06
0073000000,1,8,0,12.8063,1.97376,-26.212,-8.55e-05,0.00011327,-3.5e-05
0074000000,2,5.5,0,41.7214,6.46698,-2.65102,6.98e-06,8.58e-05,-7.15e-06
0075000000,1,6.2,0,21.8665,3.42136,-18.405,-1.71e-05,1.37e-05,-1.78e-05
0076000000,2,11.2,0,27.7178,4.55732,-12.9597,5.04e-06,0.00021448,-2.033e-05
0077000000,1,0.45,0,14.2794,2.40588,18.7575,1.37e-05,-6.32e-06,-9.58e-06
0078000000,1,2.2,0,10.1556,1.76163,4.00836,-1.96e-05,-2.85e-05,-3.07e-05
0079000000,1,6.1,0,16.92,2.98195,-16.7386,-2.75e-05,5.22e-05,-1.85e-05
0080000000,1,10.5,0,12.4865,2.22575,-21.493,2.75e-05,0.00011343,2.59e-05
0081000000,1,10,0,26.0147,4.65112,-11.6585,-8.23e-05,7.57e-05,-2.57e-05
0082000000,1,3.4,0,25.8779,4.65517,-3.33682,6.12e-06,1.18e-06,-1.27e-05
0083000000,1,0.9,0,13.0277,2.34529,11.1812,-1.9e-05,2.69e-05,-8.53e-05
0084000000,1,2.1,0,15.994,2.92881,-10.8136,-6.92e-06,-3.48e-05,-1.97e-05
0085000000,1,5.8,0,18.6314,3.52079,13.5492,-1.08e-05,2.84e-05,6.55e-06
0086000000,1,7.8,0,26.2266,4.97288,11.1442,-1.14e-05,5.5e-05,2.34e-06
0087000000,1,8.8,0,16.7783,3.22701,11.4572,-5.69e-06,-2.17e-05,-4.93e-05
0088000000,1,7.8,0,27.5836,5.31046,-9.11979,7.82e-06,3.55e-05,2.5e-07
0089000000,1,11.1,0,29.172,5.75229,-10.2072,2.65e-05,4.73e-05,1.75e-05
0090000000,1,6.5,0,8.92218,1.76075,-20.0943,-3.38e-05,1.05e-05,-0.00012376
0091000000,1,5.6,0,24.3257,4.80999,-10.0216,1.78e-05,-5.21e-06,4.7e-06
0092000000,1,1.05,0,21.1396,4.21276,0.671951,1.28e-05,-2.68e-06,-5.96e-05
0093000000,1,0.65,0,29.625,5.95705,-6.91018,-1.83e-05,-8.63e-06,-2.72e-05
0094000000,1,6.9,0,10.0274,2.02916,-11.1852,-6.23e-06,1.25e-05,1.25e-05
0095000000,2,4.8,0,23.2233,4.70426,-21.2674,-5.42e-05,3.15e-05,2.27e-05
0096000000,2,11.1,0,47.296,9.83991,-16.9913,2.6e-06,-1.48e-05,-7.31e-05
0097000000,1,1.25,0,23.1524,4.94466,-2.12767,-5.67e-06,2.04e-05,-1.43e-05
0098000000,1,2.5,0,7.25837,1.5555,0.686093,-1.2e-05,2.55e-05,-4.2e-05
0099000000,1,8.7,0,21.9242,4.75806,6.83353,1.02e-05,1.95e-06,-2.08e-05
0100000000,1,13.2,0,13.5198,2.93721,-16.5731,-2.26e-05,2.28e-05,-1.44e-05
0101000000,2,1.5,0,6.19686,1.34801,10.0769,2.21e-05,6.93e-05,-2.4e-07
0102000000,1,8.3,0,4.14696,0.903519,0.400348,5.35e-05,3.77e-05,-5.06e-05
0103000000,1,0.95,0,16.7771,3.67688,-7.36579,-1.26e-06,4.77e-05,7.94e-06
0104000000,1,9.5,0,7.06842,1.55974,20.3837,-3.73e-05,3.15e-05,-2.04e-05
0105000000,1,6.5,0,16.2432,3.58655,-23.4011,3.45e-06,1.34e-05,4.44e-06
0106000000,1,7.8,0,15.1132,3.35926,-2.90978,8.62e-06,-1.57e-05,-1.87e-05
