uniqueID,hygIndex,hipIndex,hdIndex,glieseIndex,properName,bayerDesignation,flamsteedDesignation,starConstellation,cartesianX,cartesianY,cartesianZ,cartesianVelocityX,cartesianVelocityY,cartesianVelocityZ,distanceFromSol,starColor_r,starColor_g,starColor_b,harvardLetter,yerkesClassification,numericValue,starClassification,stellarOrbitalPeriod,escapeVelocity,numberOfCSVPlanets,numberOfPlanets,starNumber,stellarMass,stellarAge,stellarLuminosity,stellarTemperature,stellarRadius,equatorialRotationVelocity,energyRadiated,innerLimitRadius,outerLimitRadius,snowLineRadius,averageOrbitalRadius,orbitalEccentricity,minSeparationToCompanion,maxSeparationToCompanion,innerForbiddenZone,outerForbiddenZone,numberofJumpPoints,gasGiantArrangement
0001100000,57,57,224789,,,,,Tuc,10.3742,0.030419,-28.0091,-9.16e-06,-5.96e-06,-3.4e-06,29.8686,255,209,174,K,V,1,K1.000000V,0,1.92851e+07,0,11,0,0.838836,3.9,0.382296,5169.35,0.860173,0,4.04907e+07,0.0838836,33.5534,2.99876,0,0,0,0,0,0,3,No Gas Giant
0002100000,68,68,224808,,,,,Peg,30.207,0.105644,9.22846,-7.23e-06,-1.53e-05,-5.28e-05,31.5856,255,202,157,K,V,0,K0.000000V,0,1.40346e+07,0,11,0,1.03766,3.6,0.264728,7436.99,2.00912,0,1.7346e+08,0.103766,41.5063,2.49541,0,0,0,0,0,0,3,Eccentric Gas Giant
0003100000,169,169,224953,GJ 1294A,,,,Tuc,5.67201,0.053101,-14.2398,-1.61e-05,1.53e-05,-6.37e-06,15.328,255,216,181,K,V,5,K5.000000V,0,1.62946e+07,0,10,0,1.40927,7.8,0.0411908,8500.36,2.0242,0,2.96047e+08,0.140927,56.3706,0.984332,0,0,0,0,0,0,4,No Gas Giant
0004100000,171,171,224930,Gl 914A,,,85 Pegasi,Peg,10.8347,0.102555,5.54043,-9.99e-06,4.58e-05,-6.58e-05,12.1699,255,241,229,G,V,5,G5.000000V,0,1.83918e+07,0,0,0,0.767624,10,0.617163,5365.25,0.86547,0,4.69863e+07,0.0767624,30.705,3.81015,0,0,0,0,0,0,0,Epistellar Gas Giant
0005100000,184,184,224983,,,,,Peg,30.6162,0.315156,5.95495,1.25e-06,-3.9e-07,-6.41e-06,31.1915,255,202,157,K,V,0,K0.000000V,0,1.42971e+07,0,11,0,1.04144,10.8,0.343558,7521.37,1.94307,0,1.81468e+08,0.104144,41.6575,2.84277,0,0,0,0,0,0,1,No Gas Giant
0006100000,263,263,0,,,,,,29.1049,0.421232,2.38642,1.04e-06,-3.45e-06,-1.21e-05,29.2056,255,197,111,M,V,1.5,M1.500000V,0,9.85101e+06,0,6,0,0.145071,8.7,0.0113449,3580.12,0.570125,0,9.3154e+06,0.0145071,5.80284,0.516585,0,0,0,0,0,0,3,No Gas Giant
0007100000,375,375,0,,,,,And,23.9342,0.487833,16.3127,4.38e-06,1.74e-05,-6.95e-06,28.9687,255,202,157,K,V,0,K0.000000V,0,1.3977e+07,0,11,0,1.00474,1.25,0.170608,7597.85,1.96146,0,1.88962e+08,0.100474,40.1896,2.00328,0,0,0,0,0,0,4,No Gas Giant
0008100000,400,400,225261,GJ 3003,,,,Peg,24.2397,0.522425,10.4265,-6.8e-07,4.89e-05,-8.8e-07,26.3922,255,248,252,G,V,9,G9.000000V,0,1.97505e+07,0,9,0,0.980253,5,0.451648,5303.36,0.958372,0,4.48555e+07,0.0980253,39.2101,3.25943,0,0,0,0,0,0,2,No Gas Giant
0009100000,428,428,0,Gl 2,,,,And,7.84376,0.177365,8.06419,4.91e-06,4.76e-05,-5.67e-06,11.2511,255,197,111,M,V,2,M2.000000V,0,2.05953e+07,0,10,0,0.565,5,0.0115452,3642,0.508,0,9.97635e+06,0.0565,22.6,0.521125,0,0,0,0,0,0,4,No Gas Giant
0010100000,435,436,55,Gl 3,,,,Tuc,5.99334,0.138488,-14.7141,-2.4e-05,-9.58e-06,-5.51e-05,15.8881,255,210,161,K,V,4.5,K4.500000V,0,1.67242e+07,0,0,0,1.07841,1,0.088308,6594.37,1.47043,0,1.07227e+08,0.107841,43.1365,1.44126,0,0,0,0,0,0,0,Epistellar Gas Giant
