_RAJ2000,_DEJ2000,Teff,R*,e_R*,M*,e_M*,Dist,HIP
0.1679,-69.675996,5169.35,0.860173,0.0748118,0.838836,0.0988717,29.24175416,57
0.542565,27.082157,5365.25,0.86547,0.0327733,0.767624284,0.0528405,12.40233206,171
1.234668,23.269632,5303.36,0.958372,0.083381,0.980253,0.124481,26.21417505,400
1.2954,45.7866,3642,0.508,0.016,0.565,0.006,16.03799228,428
1.3518,-37.3574,3577,0.396,0.012,0.431,0.003,8.203043225,439
1.420771,45.812034,4318,0.597509,0.105723,0.674858,0.0793301,11.75088153,473
1.565657,58.43691,5763.68,1.28447,0.113183,0.972613,0.12403,21.4777,518
1.579969,-49.075164,6245,1.47,NaN  ,1.23,NaN,25.64102564,522
1.653216,29.021489,5489,0.946926,0.0802006,0.972101,0.123993,13.76898254,544
2.068177,-14.824486,5901.33,0.997381,0.0871643,1.03224,0.123635,27.5555727,669
2.1137,17.4243,3882,0.556,0.016,0.605,0.003,29.81044239,687
2.294576,59.149788,6810,4.12514,0.479619,1.64056,0.377599,16.69727834,746
2.81611,-15.467986,6191.75,1.61877,0.126545,1.198647272,0.0805737,18.88930865,910
2.93338,-35.13312,6533.28,1.3409,0.0663639,1.276903762,0.0825951,21.81025082,950
3.209367,-57.912622,5371.04,0.851347,0.0736282,0.923212,0.116237,20.63523508,1031
3.3712,-36.8287,3864,0.666,0.033,0.683,0.027,29.7310691,1083
3.4113,80.6658,3648,0.528,0.016,0.584,0.005,26.01357257,1092
3.8671,-16.1338,3213,0.219,0.011,0.184,0.01,11.12770783,1242
4.052776,-79.851174,5540,0.9,NaN  ,0.9,NaN,17.55442798,1292
4.224518,-52.651184,5664.51,0.967999,0.0867999,0.949704,0.121271,23.01495972,1349
4.495366,-13.455672,5924,1.23412,0.117309,1.04099,0.124013,27.23590607,1444
4.5954,44.023,3974,0.406,0.012,0.446,0.003,9.229441865,1475
4.67443,-8.052988,5765,NaN ,NaN  ,1.02,NaN,23.43567009,1499
5.001731,38.22742,5824.93,0.987705,0.0820225,1.0679,0.127666,24.63624583,1598
5.018167,-64.87478,5960.81,1.01631,0.0394329,1.052193513,0.0669858,8.592541674,1599
5.238464,67.667492,7329,1.04352,0.136564,1.66105,0.379161,31.736,1674
5.3318,-45.7464,3758,0.553,0.016,0.603,0.004,23.69463374,1696
5.4835,-31.4061,3619,0.525,0.016,0.581,0.004,23.92902481,1734
5.598405,-27.032588,5094.66,0.838642,0.209712,0.822452,0.0969218,22.43661656,1768
5.715756,-12.209444,5794.32,1.09362,0.0903122,1.04921,0.124674,21.28660498,1803
5.8272,-50.8939,3541,0.465,0.015,0.52,0.007,30.65314221,1842
5.8701,77.1893,3717,0.477,0.014,0.533,0.004,31.57003039,1860
