_RAJ2000,_DEJ2000,ADS,Period,Axis,Incl,Ecc
1.3377,45.8234,48,362.3,6.179,62.3,0.52
1.3377,45.8234,48,1506.68,11.698,56.59,0.5
1.5449,58.44,61,106.83,1.432,44.4,0.45
2.3161,79.7232,102,456,0.924,110.3,0.68
3.0369,53.623,148,68.5,0.225,38,0.79
3.0369,53.623,148,63.89,0.217,23.47,0.75
3.344,26.9895,161,368,0.564,127.5,0.69
4.0687,76.9558,207,1600,1.26,135.7,0.5
4.1809,36.4891,221,115.049,0.363,158.87,0.576
4.4915,44.0056,246,2600,41.15,61.4,0
5.2368,67.6717,283,163.4,1.24,88.5,0.96
5.1652,12.3051,281,134.89,0.35,36.1,0.55
5.3357,67.0049,293,240,0.46,103,0.8
6.5529,-42.2961,,10.538,0.072,110.4,0.335
6.7723,-7.8796,363,54,0.365,111.2,0.65
6.7723,-7.8796,363,53.38,0.36,110,0.65
7.0797,63.7367,371,198.53,0.458,53.51,0.473
7.0823,-20.33,,5.625,0.134,59.7,0.6
7.0823,-20.33,,5.597,0.115,14.5,0.744
7.0823,-20.33,,11.25,0.214,69.8,0
7.9283,54.519,434,640,0.586,47.7,0
8.0223,67.2523,440,15.95,0.125,45,0.05
8.0223,67.2523,440,320,4.06,51,0
8.024,-5.1811,450,10.755,0.169,129.6,0.57
8.024,-5.1811,450,21.3,0.19,140.5,0
7.8901,-62.9643,,44.43,0.385,142,0.8
8.368,40.1018,463,74,0.42,120.3,0.3
8.8005,-3.5988,490,6.92,0.23,45.6,0.77
9.2916,-24.7661,520,25,0.67,78,0.22
10.5874,4.1652,588,545.8,1.67,34.6,0.14
12.2051,57.829,671,480,11.994,34.76,0.497
12.2779,57.3288,674,123.18,0.167,36,0.48
12.1929,18.6956,673,161.5,0.614,107,0.45
12.1929,18.6956,673,128,0.54,109.8,0.59
12.6195,50.6281,684,218.6,0.59,37,0.65
12.6195,50.6281,684,150,0.44,37,0.54
13.0271,-13.2228,713,146.1,0.602,43,0.76
13.289,4.0934,732,60.02,0.23,69.8,0.49
13.289,4.0934,732,60.9,0.251,73,0.43
13.6487,19.1926,746,360.4,0.7,131.5,0.3
13.7352,23.6257,755,164.68,1.014,46.45,0.31
14.2062,60.3748,784,83.4,0.252,53.5,0.225
14.8286,-0.6768,819,85.9,0.29,50.4,0.8
14.9023,-1.1936,822,150,0.41,37.4,0.25
15.3349,11.9053,828,229.6,0.645,108,0.54
15.7614,47.371,862,450,0.816,87,0.8
15.6857,2.2211,864,62.5,0.214,49.5,0.71
15.9844,35.4704,873,406.9,0.33,35.6,0.1
16.3883,21.1193,896,184.62,0.636,141.93,0.5
16.3883,21.1193,896,145,0.61,133.5,0.38
16.778,38.6517,918,33.6,0.16,30,0.23
16.8996,54.9681,,21.43,0.186,109.5,0.61
16.9407,-41.4823,,28.5,0.209,72,0.51
17.3768,47.2501,940,371.6,0.447,139.8,0.21
17.823,41.2155,974,100,0.343,64.4,0.58
18.6854,60.9465,999,75,0.357,129,0.88
18.6854,60.9465,999,150,0.58,108,0
18.917,-68.8718,,1222.4,7.64,127.3,0.45
18.917,-68.8718,,86.2,1.115,33.5,0.044
19.9128,-5.3244,1077,116.5,0.256,132,0.28
